account_id,in_degree,out_degree,pagerank,clustering,cycle_presence
ACC006612,10,8,5.309741556474507e-05,0.0,1
ACC008592,11,9,5.9240203584953334e-05,0.0,1
ACC009881,11,11,8.811598938549193e-05,0.0,1
ACC000011,15,9,8.859269156580965e-05,0.0036231884057971015,1
ACC001919,13,11,8.438078615076843e-05,0.0,1
ACC002894,10,10,7.094986480400716e-05,0.005263157894736842,1
ACC003845,10,4,0.00010381908577642388,0.0,1
ACC005091,9,5,3.936949499888989e-05,0.0,1
ACC006161,7,12,4.533679209195736e-05,0.0,1
ACC007404,135,11,0.0031622029809809916,0.002172886159659896,1
ACC007786,13,13,0.0003818833778878125,0.003076923076923077,1
ACC008003,15,8,0.00010174941889360104,0.007905138339920948,1
ACC008138,7,12,6.610736396962916e-05,0.0,1
ACC000012,8,13,4.7806017220231794e-05,0.0,1
ACC000474,11,7,4.441289740305182e-05,0.0,1
ACC000982,12,9,0.0001739836963934496,0.0,1
ACC001160,20,9,0.00012141330384186726,0.007389162561576354,1
ACC002673,11,6,3.266964827401073e-05,0.0,1
ACC002721,17,18,0.00023044926656638073,0.0016806722689075631,1
ACC002990,11,8,5.5396108624372995e-05,0.0,1
ACC003431,10,11,4.47728892438403e-05,0.0,1
ACC003584,10,11,0.00010866051342416113,0.004761904761904762,1
ACC005481,6,10,4.061205632246509e-05,0.0,1
ACC005687,12,6,8.03086352501606e-05,0.0,1
ACC007270,11,4,5.423854170547367e-05,0.0,1
ACC007281,13,6,8.57101464851537e-05,0.0,1
ACC009938,9,16,0.00025007482168690355,0.0033333333333333335,1
ACC000013,15,11,8.880323010298399e-05,0.0,1
ACC000868,16,9,8.690250117325658e-05,0.0033333333333333335,1
ACC001107,12,12,9.575087753049549e-05,0.0,1
ACC002569,9,4,4.2834706606747435e-05,0.0,1
ACC003703,11,11,7.204998621275984e-05,0.0,1
ACC004698,11,9,0.0004437524515514333,0.0,1
ACC004926,13,10,7.413772047972998e-05,0.0,1
ACC004991,11,10,6.046450019645799e-05,0.004761904761904762,1
ACC005119,8,15,0.0002726296071342797,0.0,1
ACC006386,11,20,4.8493518453076814e-05,0.0,1
ACC007179,11,10,5.098299775596661e-05,0.004761904761904762,1
ACC007490,8,12,4.7522252895941246e-05,0.0,1
ACC000014,12,6,5.982239041552502e-05,0.0,1
ACC001603,9,7,6.5569264521096e-05,0.0,1
ACC003894,10,9,4.7209866397033064e-05,0.0,1
ACC004183,11,12,0.0003299642613503544,0.003952569169960474,1
ACC007761,9,13,4.630533373162865e-05,0.004329004329004329,1
ACC007943,6,9,8.476062478195914e-05,0.0,1
ACC008132,10,16,4.397940732377848e-05,0.006153846153846154,1
ACC000015,8,11,6.950502647122722e-05,0.0,1
ACC000660,13,9,6.600132853371875e-05,0.004329004329004329,1
ACC001415,15,14,0.00029026771056402464,0.0024630541871921183,1
ACC001881,4,9,2.695339337646105e-05,0.0,1
ACC003376,13,12,8.41808683779134e-05,0.0,1
ACC005063,8,6,3.707863913159384e-05,0.0,1
ACC005070,7,8,7.461869252914419e-05,0.0,1
ACC005570,8,11,4.363849905261976e-05,0.0,1
ACC006122,13,8,8.316762544550841e-05,0.0,1
ACC006418,8,12,8.060103680037165e-05,0.015789473684210527,1
ACC006725,11,10,7.16297131034663e-05,0.0,1
ACC007244,8,10,0.0002608266239829747,0.0,1
ACC000016,14,14,9.178269677350323e-05,0.0,1
ACC000245,8,5,6.506127218398545e-05,0.0,1
ACC000769,12,11,0.00010552428252401354,0.003952569169960474,1
ACC001587,17,9,0.0001016813733477624,0.003076923076923077,1
ACC002790,8,8,4.1443479221682745e-05,0.0,1
ACC004472,9,11,5.4124074742028564e-05,0.005847953216374269,1
ACC004561,13,7,7.654573886767007e-05,0.0,1
ACC005416,12,10,6.888514240181982e-05,0.0,1
ACC005741,8,8,4.74643743408948e-05,0.0,1
ACC007242,9,4,0.00010213365355275183,0.0,1
ACC008076,10,14,0.00010047297881644555,0.0,1
ACC008209,8,13,3.903570993599134e-05,0.004761904761904762,1
ACC008554,10,8,3.361510120229926e-05,0.0,1
ACC009014,9,8,5.0863994008644984e-05,0.0,1
ACC009927,8,8,3.688916087189423e-05,0.0,1
ACC000017,12,8,7.370162821562136e-05,0.0,1
ACC001569,19,11,8.575097177407085e-05,0.0022988505747126436,1
ACC001640,14,10,9.016398935406997e-05,0.010869565217391304,1
ACC002300,16,12,5.6048920909228773e-05,0.0,1
ACC002528,12,9,7.032144756734692e-05,0.0,1
ACC007069,15,18,0.00010718155296216841,0.001893939393939394,1
ACC007477,10,9,3.859907855271658e-05,0.0,1
ACC007924,9,16,4.718980341942307e-05,0.006666666666666667,1
ACC009872,14,6,9.025752214396806e-05,0.0,1
ACC000018,10,11,4.733511919844206e-05,0.0,1
ACC000785,9,6,4.9428105925358086e-05,0.009523809523809525,1
ACC001443,10,8,5.3675249310694244e-05,0.006535947712418301,1
ACC001525,15,9,8.979922159648708e-05,0.007246376811594203,1
ACC002865,8,12,4.2654608849819196e-05,0.0,1
ACC004027,9,10,4.5690831337238915e-05,0.0,1
ACC005482,12,8,0.00016010927575421156,0.0,1
ACC006867,16,13,5.5272569302639124e-05,0.0,1
ACC008609,14,14,7.592688583037776e-05,0.0026455026455026454,1
ACC008634,6,7,2.9382521871603092e-05,0.0,1
ACC009093,10,8,8.568112051746204e-05,0.006535947712418301,1
ACC009675,17,14,0.00039579003323061377,0.0,1
ACC000019,14,12,7.730574751758888e-05,0.0,1
ACC001181,15,12,7.044868330962832e-05,0.0,1
ACC001370,12,8,9.479838906421002e-05,0.0,1
ACC001636,14,9,6.075702390003664e-05,0.003952569169960474,1
ACC001651,12,6,0.00022741531942230492,0.0,1
ACC002190,10,12,5.092778679083624e-05,0.004329004329004329,1
ACC002370,10,9,6.039096326078802e-05,0.0,1
ACC002960,10,10,0.0005520315491932431,0.0,1
ACC004643,12,9,6.666636561742874e-05,0.0,1
ACC005719,9,7,6.446485962682831e-05,0.0,1
ACC006544,7,11,8.159799186499005e-05,0.0,1
ACC008851,12,5,6.829532528932527e-05,0.007352941176470588,1
ACC009511,15,17,6.799843830234839e-05,0.0,1
ACC000020,7,16,5.736939275715668e-05,0.011857707509881422,1
ACC001631,19,11,0.0003132035037652264,0.006896551724137931,1
ACC001645,14,13,0.00010450778568618673,0.0,1
ACC001933,14,7,8.531623235142177e-05,0.0,1
ACC003342,12,11,7.600333367460746e-05,0.0,1
ACC003950,10,16,6.0866543188548865e-05,0.0,1
ACC004323,15,5,0.00011236956504105407,0.005263157894736842,1
ACC004337,8,14,5.32537062330035e-05,0.0,1
ACC007054,8,9,4.516434765588866e-05,0.008333333333333333,1
ACC007133,8,18,4.363747243289659e-05,0.006153846153846154,1
ACC008298,7,12,7.032160154352999e-05,0.0,1
ACC008375,12,10,6.805571162700962e-05,0.012987012987012988,1
ACC009182,11,12,6.856416996093412e-05,0.003952569169960474,1
ACC009427,11,11,4.088231702957298e-05,0.0,1
ACC009637,4,12,2.8860576244943064e-05,0.0,1
ACC000021,10,9,4.536526111461827e-05,0.0,1
ACC002463,15,14,8.875574479865936e-05,0.0,1
ACC003185,11,11,0.0001266198743957516,0.0,1
ACC003516,13,12,8.02119030996743e-05,0.0,1
ACC005125,12,13,8.591785507359117e-05,0.006666666666666667,1
ACC005369,13,9,7.603311007818526e-05,0.0,1
ACC005709,6,5,4.6792936378805307e-05,0.01818181818181818,1
ACC006329,7,6,6.274760951758595e-05,0.0,1
ACC006687,7,8,4.0181195683206496e-05,0.0,1
ACC008346,11,5,4.169289718975301e-05,0.0,1
ACC000022,11,17,6.112200375290893e-05,0.0,1
ACC000038,7,14,3.368684400673923e-05,0.009523809523809525,1
ACC000169,8,10,4.5402003602216775e-05,0.0,1
ACC000282,11,10,6.987629913246284e-05,0.0,1
ACC000521,17,11,0.00025982136342499206,0.0,1
ACC001158,17,12,0.0001711885129085565,0.0049261083743842365,1
ACC001203,12,13,4.418944976030479e-05,0.0,1
ACC001401,11,6,7.07017313619615e-05,0.0,1
ACC001948,11,9,4.1926890614477096e-05,0.0,1
ACC003896,4,13,2.0467702820294515e-05,0.0,1
ACC003952,14,6,7.579181639200078e-05,0.005263157894736842,1
ACC004343,11,6,5.687413621623987e-05,0.0,1
ACC005733,13,7,5.9844485920430336e-05,0.0,1
ACC006344,15,5,6.106910601588849e-05,0.0,1
ACC006442,8,10,6.886982503562849e-05,0.006535947712418301,1
ACC008573,12,13,5.374683105314872e-05,0.0033333333333333335,1
ACC008872,16,11,5.690582910530761e-05,0.0,1
ACC000023,7,16,6.403284568789269e-05,0.003952569169960474,1
ACC000360,3,9,2.585659462229764e-05,0.015151515151515152,1
ACC000493,14,10,0.00027423678019539496,0.0,1
ACC000949,11,10,7.37103338210553e-05,0.0,1
ACC001053,12,7,6.420142413807895e-05,0.0,1
ACC001888,7,10,6.270272123373748e-05,0.007352941176470588,1
ACC002080,10,12,3.9647998615955575e-05,0.0,1
ACC002486,17,10,0.00011083589187754337,0.002849002849002849,1
ACC003111,12,13,6.641548031207364e-05,0.0,1
ACC003628,11,9,6.926209395149345e-05,0.015789473684210527,1
ACC004907,9,9,4.526061970056613e-05,0.026143790849673203,1
ACC004958,14,10,6.107483302499193e-05,0.0,1
ACC006345,7,14,3.840459263810955e-05,0.004761904761904762,1
ACC006784,7,7,3.513815824515541e-05,0.0,1
ACC007165,8,10,5.680024666955748e-05,0.0,1
ACC007881,15,10,9.28891771649968e-05,0.0033333333333333335,1
ACC008480,15,6,8.497860967294415e-05,0.0,1
ACC000024,10,10,7.858588972976804e-05,0.0,1
ACC001531,12,8,5.743607424889936e-05,0.010526315789473684,1
ACC002286,14,10,0.0002965379252271389,0.0,1
ACC002329,13,11,6.471953655025788e-05,0.0,1
ACC003272,10,3,4.397216811685148e-05,0.0,1
ACC003410,10,8,5.9077852751247725e-05,0.0196078431372549,1
ACC004398,10,3,0.0003061428533728751,0.0,1
ACC004520,10,7,4.426124920040941e-05,0.0,1
ACC004685,14,7,7.281830922475863e-05,0.0,1
ACC006621,11,4,6.753832742222002e-05,0.0,1
ACC000025,10,7,0.00037248710240824856,0.0,1
ACC001885,10,16,3.6552338676549125e-05,0.003076923076923077,1
ACC002947,11,14,0.00038080395302196753,0.0033333333333333335,1
ACC003284,6,8,5.086500290916286e-05,0.0,1
ACC007328,17,11,0.00011600352739729305,0.0026455026455026454,1
ACC007593,17,11,9.656971446093685e-05,0.010582010582010581,1
ACC009121,6,14,2.2935416503942436e-05,0.0,1
ACC000026,12,10,4.4500372161598946e-05,0.0,1
ACC000092,10,8,0.00012419845960568416,0.0,1
ACC000328,10,12,9.001805070436856e-05,0.0,1
ACC001397,10,3,7.973878044788895e-05,0.0,1
ACC001833,12,14,5.092112128712786e-05,0.0,1
ACC002177,6,7,0.0003802615926617762,0.0,1
ACC003981,9,8,5.270823780613512e-05,0.0,1
ACC005323,6,15,4.4042749759428075e-05,0.0,1
ACC007099,8,9,4.051035778187803e-05,0.0,1
ACC007514,10,7,4.505482505094586e-05,0.0,1
ACC009738,12,10,7.682341228239051e-05,0.004329004329004329,1
ACC000027,9,11,0.00016613741740887305,0.0,1
ACC000905,12,7,7.092653594450962e-05,0.005847953216374269,1
ACC001011,12,21,6.025175474856602e-05,0.003787878787878788,1
ACC003057,17,12,0.00047233736637172064,0.0,1
ACC003688,11,6,6.0863112040777734e-05,0.007352941176470588,1
ACC005092,12,19,0.00018006417953078308,0.0,1
ACC005105,9,13,5.798222954362316e-05,0.0,1
ACC005940,11,16,0.0003384814284619782,0.002849002849002849,1
ACC006772,15,7,6.818428807523109e-05,0.004329004329004329,1
ACC006943,12,13,0.0003600990974427358,0.0,1
ACC008639,10,8,4.86937408458603e-05,0.013071895424836602,1
ACC009089,11,15,8.984129748342165e-05,0.0,1
ACC000028,9,10,5.574828481439822e-05,0.005847953216374269,1
ACC001786,8,11,4.796771515450224e-05,0.0,1
ACC002011,7,13,4.359825280152201e-05,0.005263157894736842,1
ACC003038,9,5,5.5752302814770726e-05,0.0,1
ACC003300,9,10,5.9949628541514725e-05,0.011695906432748537,1
ACC006359,12,11,0.00031083849588866316,0.0,1
ACC006527,12,11,0.00010028008113724903,0.003952569169960474,1
ACC008377,9,11,6.612134015179073e-05,0.010526315789473684,1
ACC008669,14,14,0.0003333998864130854,0.0026455026455026454,1
ACC000029,10,14,7.146974380311185e-05,0.0036231884057971015,1
ACC000882,9,7,5.442170638472871e-05,0.008333333333333333,1
ACC000947,15,13,6.824189886049343e-05,0.0026455026455026454,1
ACC001819,10,14,6.316650061481655e-05,0.010869565217391304,1
ACC002322,16,13,0.00010592555284028759,0.0024630541871921183,1
ACC004225,16,11,0.0004113872636647278,0.002849002849002849,1
ACC005576,10,16,4.303190933993575e-05,0.006153846153846154,1
ACC005720,13,6,5.928339203663989e-05,0.0,1
ACC007109,10,17,6.397068981626181e-05,0.002849002849002849,1
ACC007177,8,8,5.6918412473684765e-05,0.0,1
ACC007721,6,9,5.1811655582852974e-05,0.0,1
ACC008426,10,10,7.19864114847808e-05,0.005263157894736842,1
ACC008622,12,8,6.551059098497464e-05,0.0,1
ACC000030,10,8,8.784971425994626e-05,0.0,1
ACC000097,11,8,6.682158116663118e-05,0.0,1
ACC000160,8,5,4.667908007766536e-05,0.0,1
ACC000615,17,10,8.34292168911614e-05,0.002849002849002849,1
ACC001829,14,7,0.00011306991392173446,0.0,1
ACC004352,16,14,7.452420089326529e-05,0.0,1
ACC009085,11,12,0.0002849236576484462,0.003952569169960474,1
ACC009689,14,11,7.531160482404873e-05,0.0,1
ACC000031,9,13,4.509003123882077e-05,0.009523809523809525,1
ACC001000,11,10,0.0002446224349270086,0.0,1
ACC004592,9,10,6.127745889904763e-05,0.005847953216374269,1
ACC005325,9,7,5.11692535812856e-05,0.016666666666666666,1
ACC006657,11,11,4.6360014499187146e-05,0.008658008658008658,1
ACC006857,9,7,3.3748535609592935e-05,0.008333333333333333,1
ACC007710,6,10,4.913670349364839e-05,0.025,1
ACC007726,9,14,5.247338143937654e-05,0.0,1
ACC008179,10,10,4.6814091733728804e-05,0.0,1
ACC008199,16,8,0.00010253181650106278,0.007246376811594203,1
ACC008265,12,10,7.396834039139782e-05,0.0,1
ACC008475,14,8,0.00011234960649936617,0.0,1
ACC008843,9,15,4.777810590497543e-05,0.0,1
ACC009252,13,9,6.381387171027596e-05,0.0,1
ACC000032,9,10,4.313098912394242e-05,0.0,1
ACC000222,16,10,8.667997023787993e-05,0.003076923076923077,1
ACC000227,14,9,7.862872062737034e-05,0.0,1
ACC000740,14,9,5.945734869609962e-05,0.0,1
ACC001496,17,4,9.151906013530807e-05,0.0,1
ACC002492,11,8,7.563676812405528e-05,0.005847953216374269,1
ACC002572,12,9,5.5865384588589593e-05,0.004761904761904762,1
ACC006027,14,5,5.764484888510044e-05,0.0,1
ACC006851,10,8,5.8173358041130496e-05,0.0,1
ACC008262,9,15,8.833315147869975e-05,0.0036231884057971015,1
ACC008539,12,7,5.4646357247137795e-05,0.0,1
ACC000033,10,9,6.650475042948785e-05,0.0,1
ACC000859,8,11,5.6215694499629616e-05,0.005847953216374269,1
ACC003163,13,15,7.562333996588043e-05,0.0026455026455026454,1
ACC003698,18,16,0.0003871198665648485,0.0035650623885918,1
ACC005826,8,6,6.12666721300539e-05,0.0,1
ACC006974,21,7,0.00010343223274578748,0.0,1
ACC007766,10,6,8.579116108682265e-05,0.008333333333333333,1
ACC008829,10,12,7.353307629560711e-05,0.004329004329004329,1
ACC009943,8,9,4.033972737411162e-05,0.0,1
ACC000034,9,17,0.00013733443273627116,0.0,1
ACC000950,11,9,0.00010859535641431767,0.0,1
ACC001001,13,9,0.00010275457590237954,0.0,1
ACC001285,12,11,8.837054196237951e-05,0.0,1
ACC002064,15,7,0.0001176944643188894,0.0,1
ACC002312,11,10,0.00010003140685291292,0.0,1
ACC002624,7,5,3.199210882096211e-05,0.0,1
ACC003503,7,8,4.5836643713115675e-05,0.0,1
ACC003540,5,7,5.6059623838898786e-05,0.0,1
ACC004846,7,12,6.560054013612052e-05,0.0,1
ACC005252,6,9,3.973116664782428e-05,0.0,1
ACC005293,8,12,3.720836625751317e-05,0.0,1
ACC005538,12,10,7.823021869500674e-05,0.0,1
ACC006407,12,19,0.00035608611273908644,0.002150537634408602,1
ACC006434,10,15,6.792603625429851e-05,0.0,1
ACC007411,16,15,5.935831221171974e-05,0.0,1
ACC008610,10,13,3.252840271357785e-05,0.0,1
ACC009373,13,8,8.597975274450419e-05,0.0,1
ACC000035,8,9,4.550663369567259e-05,0.0,1
ACC000598,16,8,9.183281404116917e-05,0.0,1
ACC000789,11,6,5.478404830015578e-05,0.0,1
ACC002706,13,7,7.972730355375698e-05,0.0,1
ACC003238,10,5,6.272957478509691e-05,0.0,1
ACC003692,9,5,6.312700534169769e-05,0.01098901098901099,1
ACC004738,16,9,0.00027034961897232736,0.0,1
ACC008208,14,12,5.480782823373309e-05,0.0,1
ACC008390,7,14,4.09578777458841e-05,0.0,1
ACC008898,10,11,0.00010868427382268701,0.0,1
ACC000036,9,11,5.6044840839500844e-05,0.0,1
ACC000556,4,4,3.081693157383922e-05,0.0,1
ACC001259,14,10,0.00038418582631695436,0.0,1
ACC001620,9,8,5.864015449344776e-05,0.007352941176470588,1
ACC006140,11,7,3.851168966652907e-05,0.0,1
ACC006304,14,8,0.0003411395704299553,0.0,1
ACC006655,14,8,6.889998811460745e-05,0.008658008658008658,1
ACC006753,8,13,4.7299319951265435e-05,0.0,1
ACC007711,9,9,0.00019496414145581058,0.006535947712418301,1
ACC007731,12,9,7.120261887077621e-05,0.004761904761904762,1
ACC008976,5,8,3.876197222969868e-05,0.01282051282051282,1
ACC009780,7,14,4.929851530570449e-05,0.0,1
ACC000037,8,15,3.956170450932884e-05,0.0,1
ACC000078,8,13,6.768551880427024e-05,0.0,1
ACC000425,19,12,8.912765514463544e-05,0.0,1
ACC002452,14,8,8.031950037309535e-05,0.004329004329004329,1
ACC003461,17,11,6.920238058554397e-05,0.0,1
ACC003589,8,16,2.9941170522848168e-05,0.007246376811594203,1
ACC003809,14,9,6.49784715225286e-05,0.0,1
ACC003818,10,14,5.429389108088672e-05,0.0,1
ACC004166,19,8,0.00013024631870109607,0.002849002849002849,1
ACC004716,11,10,4.6728244459327324e-05,0.0,1
ACC004753,9,8,5.1482046742073e-05,0.0,1
ACC005615,13,8,0.0056731366441028575,0.004761904761904762,1
ACC005930,12,10,9.442146744469733e-05,0.004329004329004329,1
ACC006011,9,4,5.073736945572445e-05,0.0,1
ACC006126,9,10,0.0002506247795062559,0.005847953216374269,1
ACC009627,16,8,5.80139655551296e-05,0.0,1
ACC001897,7,11,7.799580152567251e-05,0.0,1
ACC002929,10,6,0.0002731249738012547,0.0,1
ACC003021,11,4,6.739415848399821e-05,0.0,1
ACC003081,10,8,8.267991455635282e-05,0.0,1
ACC004948,10,7,6.382353457001716e-05,0.014705882352941176,1
ACC004985,20,9,9.350655188013004e-05,0.0,1
ACC005200,11,10,5.1515896622849565e-05,0.0,1
ACC006193,15,10,0.00012772780789812628,0.006666666666666667,1
ACC006369,9,10,0.0002407731329137416,0.0,1
ACC006808,9,13,4.938248789913643e-05,0.0,1
ACC007483,17,12,7.010305832538172e-05,0.014778325123152709,1
ACC008104,14,7,5.919542952256076e-05,0.004761904761904762,1
ACC009875,11,9,4.4646524886064794e-05,0.005263157894736842,1
ACC000039,12,13,0.00015533903910554787,0.0,1
ACC001098,7,9,3.584614996773146e-05,0.008333333333333333,1
ACC001959,13,5,0.00042167192745834204,0.013071895424836602,1
ACC002532,12,16,7.704524460262912e-05,0.0026455026455026454,1
ACC003491,9,8,6.678332332090689e-05,0.0,1
ACC003566,10,7,4.2086263972842374e-05,0.0,1
ACC003607,13,12,8.97682471009643e-05,0.0,1
ACC005446,9,10,7.830918244928983e-05,0.0,1
ACC008439,9,10,6.422376829778945e-05,0.005847953216374269,1
ACC008807,10,16,9.88396056344837e-05,0.012307692307692308,1
ACC009080,9,13,4.83851179308055e-05,0.0,1
ACC009097,10,6,6.477055832778759e-05,0.0,1
ACC009706,13,10,6.419926300059381e-05,0.007905138339920948,1
ACC000040,11,13,9.13309998200776e-05,0.0036231884057971015,1
ACC000738,15,5,9.024263968115494e-05,0.0,1
ACC001622,7,8,5.404259581877538e-05,0.0,1
ACC002206,13,17,7.391996558676432e-05,0.0,1
ACC003158,16,7,8.486806842345051e-05,0.0,1
ACC003347,13,12,5.467533200392926e-05,0.0033333333333333335,1
ACC005524,8,9,4.2623286041921365e-05,0.0,1
ACC005755,11,8,7.516041862653776e-05,0.0,1
ACC007364,16,19,0.0002993605407801514,0.0,1
ACC008367,9,4,5.425953299869012e-05,0.0,1
ACC008393,14,9,0.0004250091722335913,0.007905138339920948,1
ACC009081,7,16,4.8199879774888835e-05,0.003952569169960474,1
ACC009139,7,9,8.240067552441368e-05,0.008333333333333333,1
ACC000041,7,17,8.326526953655381e-05,0.0036231884057971015,1
ACC000124,17,10,8.828683252326043e-05,0.0,1
ACC000816,12,11,5.562561539783695e-05,0.0,1
ACC002302,7,15,4.456856702790812e-05,0.004329004329004329,1
ACC003587,9,10,4.204926855128747e-05,0.0,1
ACC003850,8,18,5.1959380016496103e-05,0.0,1
ACC004708,9,11,4.81846817343265e-05,0.0,1
ACC005432,7,6,5.201104318785753e-05,0.0,1
ACC005678,8,8,5.095474972487817e-05,0.025,1
ACC007029,8,8,3.233192657936631e-05,0.0,1
ACC007295,9,14,0.00023629369607217909,0.003952569169960474,1
ACC007604,16,12,5.6357870581566895e-05,0.0,1
ACC007672,9,10,4.214166268697413e-05,0.005847953216374269,1
ACC008732,20,7,8.66125216760343e-05,0.008547008547008548,1
ACC009160,12,4,5.3906298923678455e-05,0.0,1
ACC009214,10,11,6.23284717125508e-05,0.009523809523809525,1
ACC009791,12,6,6.763994484177561e-05,0.006535947712418301,1
ACC000042,8,13,6.620140488809393e-05,0.0,1
